CourseID,SubjectID
C02001,13907
C02001,17900
C02001,81000
C02018,32931
C02018,42670
C02018,49986
C02024,90010
C02024,92984
C02024,93000
C02024,93001
C02028,77696
C02028,77697
C02029,32903
C02029,32931
C02029,32986
C02029,33874
C02029,42670
C02030,34980
C02031,60986
C02037,95582
C02047,32931
C02047,33875
C02047,42670
C02048,21982
C02048,22982
C02048,23926
C02048,24912
C02048,24982
C02048,25927
C02048,26928
C02056,95589
C02057,93007
C02058,23930
C02058,23931
C02058,23932
C02058,23937
C02058,23938
C02058,23939
C02058,23940
C02058,23941
C02058,23942
C02058,23943
C02058,23949
C02059,95592
C02060,95595
C02061,96708
C02062,36110
C02063,95597
C02065,95601
C02066,95599
C02067,95000
C02069,16018
C02069,51913
C02070,51913
C02070,51915
C02070,979114
C02071,96822
C02090,13907
C02090,17124
C02090,17900
C02090,81000
C02091,21982
C02091,22982
C02091,23949
C02091,24912
C02091,24982
C02091,25927
C02092,95000
C02093,32931
C02093,42062
C02093,42670
C02094,32903
C02094,32931
C02094,32986
C02094,33874
C02094,42670
C02095,32931
C02095,42670
C02095,49986
C02096,32931
C02096,42063
C02096,42670
C02097,16018
C02097,51913
C02098,51913
C02098,51915
C02098,979114
C02099,26928
C02099,90010
C02099,92984
C02099,93000
C02099,93001
C02099,95592
C02099,95597
C02099,95599
C02099,95601
C02099,96708
C02099,96822
C02100,95589
C02101,93007
C02102,95595
C02103,77696
C02103,77697
C02104,34980
C02105,60986
C02106,95582
C02107,36110
C03001,13905
C03002,14903
C03002,15903
C03012,81821
C03017,32931
C03017,42670
C03017,49776
C03024,77697
C03024,77698
C03025,31675
C03025,32931
C03025,42670
C03026,34776
C03029,91774
C03032,95583
C03048,92618
C03048,92975
C03049,92618
C03049,92976
C03050,92618
C03050,92977
C03051,31676
C03051,32931
C03051,42670
C03053,95590
C03054,95591
C03055,92052
C03055,92054
C03056,95593
C03057,95594
C03059,95596
C03061,95600
C03062,95598
C03063,95001
C03064,36107
C03066,16017
C03066,51913
C03067,51913
C03067,51914
C03067,979113
C03068,96823
C04305,10070
C04305,13096
C04305,13102
C04305,13105
C04305,13991
C04305,28253
C04310,32601
C04310,42003
C04310,42095
C04310,42908
C04310,49001
C04310,49002
C04310,49003
C04310,49004
C04310,49006
C04310,49069
C04310,49309
C04379,23708
C04379,24754
C04379,26776
C04379,42048
C04380,23708
C04380,24754
C04380,26776
C04380,42048
C04412,260776
C04412,260777
C04412,570100
C04413,240710
C04413,240715
C04413,240729
C04413,240742
C04413,240753
C04413,570101
C04420,10070
C04420,13096
C04420,13102
C04420,13105
C04420,13991
C04420,28253
C04423,42909
C04423,42910
C04423,42911
C04426,22747
C04426,23706
C04426,25705
C04426,25721
C04426,25741
C04426,25742
C04426,25743
C04426,25762
C04426,25765
C04426,25782
C04426,25796
C04426,25847
C04427,14220
C04427,14221
C04427,14222
C04427,14225
C06009,21880
C06009,22800
C06009,23709
C06009,24834
C06009,25799
C06100,96001
C06100,96002
C06100,96003
C06100,96004
C06100,96005
C06100,96006
C06100,96007
C06100,96008
C06100,96015
C06100,96024
C06100,96025
C06115,96057
C06115,96059
C06115,96060
C06115,96062
C06115,96063
C06115,96064
C06115,96069
C06115,96134
C06116,10070
C06116,13096
C06116,13102
C06116,13105
C06116,28253
C06118,96080
C06118,96081
C06118,96082
C06118,96083
C06118,96084
C06118,96085
C06118,96087
C06118,96088
C06119,21923
C06119,57205
C06119,57206
C06119,57207
C06119,57214
C06119,57222
C06127,96099
C06127,96102
C06127,96103
C06127,96104
C06127,96105
C06127,96108
C06127,96109
C06127,96110
C06141,90011
C06141,90012
C06141,90013
C06141,90014
C06141,90016
C06141,90017
C06141,90020
C06143,69504
C06143,69505
C06143,69506
C07012,22747
C07012,22748
C07012,22754
C07012,23706
C07012,25705
C07012,25741
C07012,25742
C07012,79708
C07070,92383
C07070,92384
C07070,92385
C07070,92386
C07070,92388
C07070,92389
C07070,92390
C07070,92391
C07070,92392
C07132,37003
C07132,37004
C07132,37005
C07132,37006
C07132,37007
C07132,37008
C07132,37009
C07132,37010
C07132,37011
C07138,23708
C07138,24754
C07138,26776
C07141,96027
C07141,96028
C07141,96029
C07141,96030
C07141,96031
C07141,96032
C07141,96033
C07141,96034
C07141,96035
C07141,96036
C07141,96037
C07142,25769
C07142,25770
C07142,25772
C07142,25773
C07142,25775
C07142,25888
C07142,77980
C07142,79708
C07144,96331
C07144,96332
C07144,96333
C07145,220789
C07145,230708
C07145,240753
C07145,260776
C07145,260777
C07145,320146
C07145,320513
C07145,420046
C07145,420047
C07145,570100
C07146,240700
C07146,240701
C07146,240710
C07146,240713
C07146,240715
C07146,240725
C07146,240729
C07146,240730
C07146,570100
C07146,570101
C07146,570102
C09018,92291
C09018,92292
C09018,92618
C09019,31482
C09019,32931
C09019,42670
C09047,55990
C09047,55993
C09047,55994
C09049,92268
C09049,92269
C09049,92618
C09051,92265
C09051,92266
C09051,92618
C09057,92054
C09057,92055
C09057,92056
C09081,21908
C09081,21991
C09081,21992
C09081,21993
C09081,21994
C09101,21924
C09101,21932
C09101,21933
C09101,94658
C09101,94663
C09122,81511
C09122,81512
C09122,81513
C09122,81514
C09122,81515
C09122,81516
C09122,81521
C09122,81522
C09122,81524
C09122,81528
C09122,81531
C09122,81541
C09122,81542
C09122,81543
C10066,48001
C11008,21880
C11008,22800
C11008,23709
C11008,24834
C11015,22747
C11015,23706
C11015,25742
C11015,79708
C11027,22747
C11027,23706
C11027,25741
C11027,25742
C11115,92721
C11115,92845
C11115,92934
C11115,93006
C11206,22747
C11206,23706
C11206,25742
C11206,79708
C11222,10301
C11222,10302
C11222,10303
C11222,10304
C11222,10305
C11222,10306
C11222,10307
C11222,10308
C11230,96001
C11230,96002
C11230,96003
C11230,96004
C11230,96005
C11230,96006
C11230,96007
C11230,96008
C11230,96015
C11230,96024
C11230,96025
C11238,49143
C11238,49144
C11247,32524
C11247,32555
C11247,32557
C11247,32606
C11249,96057
C11249,96059
C11249,96060
C11249,96062
C11249,96063
C11249,96064
C11249,96069
C11249,96134
C11254,10070
C11254,13102
C11254,13105
C11254,28253
C11257,81533
C11257,81534
C11257,81535
C11257,81536
C11260,96080
C11260,96081
C11260,96082
C11260,96083
C11266,42908
C11271,12518
C11271,12535
C11271,15142
C11271,17700
C11271,17771
C11280,23708
C11280,26776
C11280,26777
C11281,25769
C11281,25770
C11281,25772
C11282,24706
C11282,24707
C11282,24710
C11282,24713
C11282,24720
C11282,24729
C11282,24730
C11282,24734
C11282,24736
C11282,24738
C11282,24742
C11282,24749
C11282,24750
C11282,24752
C11282,24757
C11282,24760
C11292,96027
C11292,96028
C11292,96029
C11292,96030
C11305,260776
C11305,260777
C11305,570100
C11306,240710
C11306,240715
C11306,240729
C11306,570101
C11308,37003
C11308,37004
C11308,37005
C11308,37006
C11308,37007
C11308,37008
C11308,37009
C11308,37010
C11308,37011
C11328,90011
C11328,90013
C11328,90017
C11328,90020
C11329,90012
C11329,90013
C11329,90014
C11329,320146
C11330,90010
C11330,90011
C11330,90012
C11330,90013
C11330,90014
C11330,90017
C11334,22747
C11334,23706
C11334,25741
C11334,25742
C11336,14220
C11336,14221
C11336,14222
C11336,14225
C11337,14162
C11337,14223
C11337,14226
C11337,14227
C11338,21953
C11338,22788
C11338,24748
C11338,25720
C11338,26804
C11338,26805
C11338,26807
C11338,26809
C11338,26811
C11338,26812
C11338,26813
C11338,26814
C11338,26816
C11338,26817
C11338,26818
C11338,26820
C11339,320146
C11339,320513
C11339,420104
C11339,570100
C11340,320146
C11340,420107
C11340,420108
C11340,570100
C11341,320557
C11341,320606
C11341,420046
C11341,420047
C11341,420104
C11342,69504
C11342,69505
C11342,69506
C11343,17901
C11343,17902
C11343,17903
C11343,17904
C11344,78605
C11344,78606
C11344,78607
C11345,240700
C11345,240701
C11345,240710
C11345,240715
C11345,240729
C11345,570101
C11352,96832
C11352,96833
C11352,96834
C11352,96835
C11352,96836
C11352,96837
C11354,78246
C11354,78725
C11354,78726
C11355,260800
C11355,260801
C11355,570001
C11355,570002
C11356,17125
C11356,17126
C11356,17128
C11356,17901
C20061,83119
C20061,83621
C20061,83622
C20061,85503
